unit_id,max_cycle_observed,rul,failure_cycle
1,31,112,143
2,49,98,147
3,126,69,195
4,106,82,188
5,98,91,189
6,105,93,198
7,160,91,251
8,166,95,261
9,55,111,166
10,192,96,288
11,83,97,180
12,217,124,341
13,195,95,290
14,46,107,153
15,76,83,159
16,113,84,197
17,165,50,215
18,133,28,161
19,135,87,222
20,184,16,200
21,148,57,205
22,39,111,150
23,130,113,243
24,186,20,206
25,48,145,193
26,76,119,195
27,140,66,206
28,158,97,255
29,171,90,261
30,143,115,258
31,196,8,204
32,145,48,193
33,50,106,156
34,203,7,210
35,198,11,209
36,126,19,145
37,121,21,142
38,125,50,175
39,37,142,179
40,133,28,161
41,123,18,141
42,156,10,166
43,172,59,231
44,54,109,163
45,152,114,266
46,146,47,193
47,73,135,208
48,78,92,170
49,303,21,324
50,74,79,153
51,144,114,258
52,189,29,218
53,164,26,190
54,121,97,218
55,113,137,250
56,136,15,151
57,160,103,263
58,176,37,213
59,94,114,208
60,147,100,247
61,159,21,180
62,232,54,286
63,155,72,227
64,168,28,196
65,71,128,199
66,147,14,161
67,71,77,148
68,187,8,195
69,54,121,175
70,152,94,246
71,68,118,186
72,131,50,181
73,112,131,243
74,137,126,263
75,88,113,201
76,205,10,215
77,162,34,196
78,72,107,179
79,101,63,164
80,133,90,223
81,213,8,221
82,162,9,171
83,73,137,210
84,172,58,230
85,34,118,152
86,110,89,199
87,56,116,172
88,68,115,183
89,177,136,313
90,146,28,174
91,234,38,272
92,150,20,170
93,244,85,329
94,133,55,188
95,89,128,217
96,97,137,234
97,134,82,216
98,121,59,180
99,97,117,214
100,198,20,218
